image_name,label,color
image_5_2_0.png,5,2
image_0_2_0.png,0,2
image_4_2_0.png,4,2
image_1_0_0.png,1,0
image_9_2_0.png,9,2
image_2_0_0.png,2,0
image_1_1_1.png,1,1
image_3_2_0.png,3,2
image_1_2_2.png,1,2
image_4_0_1.png,4,0
image_3_2_1.png,3,2
image_5_1_1.png,5,1
image_3_2_2.png,3,2
image_6_0_0.png,6,0
image_1_2_3.png,1,2
image_7_2_0.png,7,2
image_2_1_1.png,2,1
image_8_2_0.png,8,2
image_6_0_1.png,6,0
image_9_1_1.png,9,1
image_4_0_2.png,4,0
image_0_1_1.png,0,1
image_9_0_2.png,9,0
image_1_2_4.png,1,2
image_1_0_5.png,1,0
image_2_2_2.png,2,2
image_4_2_3.png,4,2
image_3_2_3.png,3,2
image_2_0_3.png,2,0
image_7_2_1.png,7,2
image_3_0_4.png,3,0
image_8_0_1.png,8,0
image_6_0_2.png,6,0
image_9_0_3.png,9,0
image_0_1_2.png,0,1
image_5_2_2.png,5,2
image_6_0_3.png,6,0
image_0_1_3.png,0,1
image_7_0_2.png,7,0
image_6_0_4.png,6,0
image_1_2_6.png,1,2
image_8_2_2.png,8,2
image_7_0_3.png,7,0
image_9_0_4.png,9,0
image_3_2_5.png,3,2
image_9_1_5.png,9,1
image_8_0_3.png,8,0
image_5_0_3.png,5,0
image_9_0_6.png,9,0
image_3_2_6.png,3,2
image_3_0_7.png,3,0
image_0_2_4.png,0,2
image_7_0_4.png,7,0
image_4_0_4.png,4,0
image_9_0_7.png,9,0
image_8_1_4.png,8,1
image_0_1_5.png,0,1
image_9_1_8.png,9,1
image_4_0_5.png,4,0
image_1_1_7.png,1,1
image_4_2_6.png,4,2
image_4_0_7.png,4,0
image_6_0_5.png,6,0
image_0_2_6.png,0,2
image_4_0_8.png,4,0
image_5_2_4.png,5,2
image_6_0_6.png,6,0
image_1_2_8.png,1,2
image_0_1_7.png,0,1
image_0_2_8.png,0,2
image_1_0_9.png,1,0
image_7_0_5.png,7,0
image_1_1_10.png,1,1
image_6_0_7.png,6,0
image_3_0_8.png,3,0
image_0_0_9.png,0,0
image_2_1_4.png,2,1
image_1_2_11.png,1,2
image_1_1_12.png,1,1
image_7_0_6.png,7,0
image_9_2_9.png,9,2
image_0_2_10.png,0,2
image_2_2_5.png,2,2
image_6_2_8.png,6,2
image_7_2_7.png,7,2
image_8_1_5.png,8,1
image_3_0_9.png,3,0
image_9_0_10.png,9,0
image_0_0_11.png,0,0
image_4_2_9.png,4,2
image_6_2_9.png,6,2
image_7_2_8.png,7,2
image_4_2_10.png,4,2
image_6_2_10.png,6,2
image_8_0_6.png,8,0
image_0_1_12.png,0,1
image_7_0_9.png,7,0
image_8_0_7.png,8,0
image_3_0_10.png,3,0
image_1_1_13.png,1,1
image_5_1_5.png,5,1
image_7_2_10.png,7,2
image_1_2_14.png,1,2
image_7_2_11.png,7,2
image_1_1_15.png,1,1
image_1_2_16.png,1,2
image_6_1_11.png,6,1
image_3_0_11.png,3,0
image_0_0_13.png,0,0
image_2_0_6.png,2,0
image_9_0_11.png,9,0
image_3_2_12.png,3,2
image_1_1_17.png,1,1
image_1_1_18.png,1,1
image_0_2_14.png,0,2
image_4_1_11.png,4,1
image_9_1_12.png,9,1
image_2_2_7.png,2,2
image_0_1_15.png,0,1
image_0_0_16.png,0,0
image_2_0_8.png,2,0
image_0_0_17.png,0,0
image_2_1_9.png,2,1
image_7_2_12.png,7,2
image_1_2_19.png,1,2
image_8_0_8.png,8,0
image_6_0_12.png,6,0
image_4_2_12.png,4,2
image_1_2_20.png,1,2
image_6_1_13.png,6,1
image_3_0_13.png,3,0
image_4_1_13.png,4,1
image_5_1_6.png,5,1
image_9_2_13.png,9,2
image_1_2_21.png,1,2
image_3_2_14.png,3,2
image_3_2_15.png,3,2
image_8_2_9.png,8,2
image_5_0_7.png,5,0
image_4_1_14.png,4,1
image_7_1_13.png,7,1
image_7_0_14.png,7,0
image_4_2_15.png,4,2
image_2_2_10.png,2,2
image_8_0_10.png,8,0
image_5_1_8.png,5,1
image_8_0_11.png,8,0
image_6_1_14.png,6,1
image_7_0_15.png,7,0
image_3_2_16.png,3,2
image_4_0_16.png,4,0
image_6_0_15.png,6,0
image_1_1_22.png,1,1
image_9_0_14.png,9,0
image_9_2_15.png,9,2
image_6_0_16.png,6,0
image_0_2_18.png,0,2
image_3_2_17.png,3,2
image_7_1_16.png,7,1
image_2_2_11.png,2,2
image_8_0_12.png,8,0
